Meeting ID,Topic,Start Time,End Time,User Email,Duration (Minutes),Participants
60245167821,Heroes meeting,11/19/2021 10:00:00 AM,11/19/2021 12:00:00 PM,green-goblin_human@marvel.com,120,27
,,,,,,
Name (Original Name),User Email,Join Time,Leave Time,Duration (Minutes),Guest,Recording Consent
015_Loki (Loki Laufeyson),loki_asgardian@marvel.com,11/19/2021 9:54:15 AM,11/19/2021 12:01:59 PM,128,Yes,Y
019_Mockingbird,mockingbird_human@marvel.com,11/19/2021 10:07:44 AM,11/19/2021 12:01:58 PM,115,Yes,Y
014_Clea,clea_unknown@marvel.com,11/19/2021 10:08:10 AM,11/19/2021 10:17:18 AM,10,No,NA
003_Power Girl (Kara Zor-L),power-girl_kryptonian@dc.com,11/19/2021 10:08:26 AM,11/19/2021 12:01:58 PM,114,Yes,Y
010_Cyborg Superman,cyborg-superman_cyborg@dc.com,11/19/2021 10:08:32 AM,11/19/2021 11:00:13 AM,52,Yes,Y
018_Blizzard II,blizzard-ii_unknown@marvel.com,11/19/2021 10:08:40 AM,11/19/2021 12:01:54 PM,114,Yes,Y
011_Green Goblin (Norman Osborn),green-goblin_human@marvel.com,11/19/2021 10:09:24 AM,11/19/2021 12:01:55 PM,113,Yes,Y
005_Donna Troy,donna-troy_amazon@dc.com,11/19/2021 10:09:26 AM,11/19/2021 12:01:55 PM,113,Yes,Y
025_ERG-1,erg-1_unknown@dc.com,11/19/2021 10:10:00 AM,11/19/2021 12:01:50 PM,112,Yes,Y
020_Alan Scott,alan-scott_unknown@dc.com,11/19/2021 10:10:37 AM,11/19/2021 12:01:59 PM,112,Yes,Y
009_Juggernaut (Cain Marko),juggernaut_human@marvel.com,11/19/2021 10:10:49 AM,11/19/2021 12:01:56 PM,112,Yes,NA
013_Thunderbird II,thunderbird-ii_unknown@marvel.com,11/19/2021 10:11:03 AM,11/19/2021 10:13:15 AM,3,Yes,NA
024_Silverclaw,silverclaw_unknown@marvel.com,11/19/2021 10:11:05 AM,11/19/2021 12:01:58 PM,111,Yes,Y
008_Simon Baz,simon-baz_human@dc.com,11/19/2021 10:11:26 AM,11/19/2021 12:01:59 PM,111,Yes,Y
003_Power Girl (Kara Zor-L),power-girl_kryptonian@dc.com,11/19/2021 10:11:31 AM,11/19/2021 12:01:58 PM,111,Yes,Y
023_Warp,warp_unknown@dc.com,11/19/2021 10:11:50 AM,11/19/2021 12:00:46 PM,109,Yes,Y
007_Birdman,birdman_eternal@hb.com,11/19/2021 10:11:55 AM,11/19/2021 12:01:51 PM,110,Yes,Y
016_Isis,isis_unknown@dc.com,11/19/2021 10:13:57 AM,11/19/2021 12:01:54 PM,108,Yes,Y
017_Swarm,swarm_mutant@marvel.com,11/19/2021 10:14:30 AM,11/19/2021 10:24:26 AM,10,Yes,Y
027_Jason Bourne,jason-bourne_human@something.com,11/19/2021 10:15:06 AM,11/19/2021 12:01:59 PM,107,Yes,Y
004_Angel Salvadore,angel-salvadore_unknown@marvel.com,11/19/2021 10:15:11 AM,11/19/2021 12:01:58 PM,107,Yes,Y
006_Phoenix,phoenix_mutant@marvel.com,11/19/2021 10:19:40 AM,11/19/2021 12:01:54 PM,103,Yes,Y
017_Swarm,swarm_mutant@marvel.com,11/19/2021 10:24:12 AM,11/19/2021 12:01:58 PM,98,Yes,Y
001_Magus,magus_unknown@marvel.com,11/19/2021 10:44:03 AM,11/19/2021 12:01:59 PM,78,Yes,Y
021_Winter Soldier (Bucky Barnes),winter-soldier_human@marvel.com,11/19/2021 11:00:49 AM,11/19/2021 11:01:09 AM,1,Yes,Y
022_Dazzler,dazzler_mutant@marvel.com,11/19/2021 11:01:02 AM,11/19/2021 11:02:35 AM,2,Yes,NA
022_Dazzler,dazzler_mutant@marvel.com,11/19/2021 11:02:46 AM,11/19/2021 11:29:38 AM,27,Yes,NA
012_Shang-Chi (Xu Shang-Chi),shang-chi_human@marvel.com,11/19/2021 11:18:16 AM,11/19/2021 11:21:41 AM,4,Yes,Y
010_Cyborg Superman,cyborg-superman_cyborg@dc.com,11/19/2021 11:28:11 AM,11/19/2021 12:01:58 PM,34,Yes,NA
002_She-Thing,she-thing_radiation@marvel.com,11/19/2021 11:37:01 AM,11/19/2021 12:01:58 PM,25,Yes,Y
026_Redeemer II,redeemer-ii_unknown@comic.com,11/19/2021 10:24:30 AM,11/19/2021 12:01:51 PM,98,Yes,Y
